"name","group","tvg-id","tvg-name","url","logo"
"翡翠台","港澳台","232","翡翠台","http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=1&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1","http://epg.51zmt.top:8000/tb1/gt/TVB翡翠台.png"
"无线新闻台","港澳台","235","无线新闻","http://livetv.dnsfor.me/channel.10.m3u8","http://epg.51zmt.top:8000/tb1/gt/wxxw.png"
"凤凰卫视中文台","港澳台","237","凤凰中文","http://zb.ios.ifeng.com/live/05QGDA0CIRK/index.m3u8","http://epg.51zmt.top:8000/tb1/gt/fenghuangzhongwen.png"
"凤凰卫视资讯台","港澳台","238","凤凰资讯","http://zb.ios.ifeng.com/live/05QGCOB3T34/index.m3u8","http://epg.51zmt.top:8000/tb1/gt/fenghuangzixun.png"
"凤凰卫视香港台","港澳台","239","凤凰香港","http://zb.ios.ifeng.com/live/05QGDOFQJ28/index.m3u8","http://epg.51zmt.top:8000/tb1/gt/fenghuangxianggang.png"
"澳亚卫视","港澳台","435","澳亚卫视","http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=192&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1","http://epg.51zmt.top:8000/tb1/gt/澳亚卫视.png"
"CHC高清电影","电影","75","CHC高清电影","http://39.134.19.247:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com","http://epg.51zmt.top:8000/tb1/qt/CHC3.jpg"
"CHC动作电影","电影","78","CHC动作电影","http://39.134.19.247:6610/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com","http://epg.51zmt.top:8000/tb1/qt/CHC1.jpg"
"CHC家庭电影","电影","79","CHC家庭电影","http://39.134.19.247:6610/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com","http://epg.51zmt.top:8000/tb1/qt/CHC2.jpg"
"峨嵋电影频道","电影","179","峨嵋电影","http://sam629205.f3322.net:2018/udp/239.93.1.54:5140","http://epg.51zmt.top:8000/tb1/qt/emeidianying.png"
"淘电影","电影","","","http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226552/2.m3u8",""
"NewTV动作电影","电影","","","http://183.207.248.71:80/cntv/live1/n-dongzuody/n-dongzuody",""
"NewTV惊悚电影","电影","","","http://183.207.248.71:80/cntv/live1/n-jingsongxy/n-jingsongxy",""
"NewTV黑莓电影","电影","","","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-Supermovie/HD-8000k-1080P-Supermovie",""
"NewTV超级电影","电影","","","http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8",""
"CCTV-1综合","央视","1","CCTV1","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv1/HD-8000k-1080P-cctv1","http://epg.51zmt.top:8000/tb1/CCTV/CCTV1.png"
"CCTV-2财经","央视","2","CCTV2","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv2/HD-8000k-1080P-cctv2","http://epg.51zmt.top:8000/tb1/CCTV/CCTV2.png"
"CCTV-3综艺","央视","3","CCTV3","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv3/HD-8000k-1080P-cctv3","http://epg.51zmt.top:8000/tb1/CCTV/CCTV3.png"
"CCTV-4中文国际","央视","4","CCTV4","http://183.207.248.71:80/cntv/live1/cctv-4/cctv-4","http://epg.51zmt.top:8000/tb1/CCTV/CCTV4.png"
"CCTV-5体育","央视","5","CCTV5","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv5/HD-8000k-1080P-cctv5","http://epg.51zmt.top:8000/tb1/CCTV/CCTV5.png"
"CCTV-5+体育赛事","央视","6","CCTV5+","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv05plus/HD-8000k-1080P-cctv05plus","http://epg.51zmt.top:8000/tb1/CCTV/CCTV5+.png"
"CCTV-6电影","央视;电影","7","CCTV6","http://183.207.248.71:80/cntv/live1/cctv-6/cctv-6","http://epg.51zmt.top:8000/tb1/CCTV/CCTV6.png"
"CCTV-7国防军事","央视","8","CCTV7","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv7/HD-8000k-1080P-cctv7","http://epg.51zmt.top:8000/tb1/CCTV/CCTV6.png"
"CCTV-8电视剧","央视","9","CCTV8","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv8/HD-8000k-1080P-cctv8","http://epg.51zmt.top:8000/tb1/CCTV/CCTV7.png"
"CCTV-9纪录","央视","10","CCTV9","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv9/HD-8000k-1080P-cctv9","http://epg.51zmt.top:8000/tb1/CCTV/CCTV9.png"
"CCTV-10科教","央视","11","CCTV10","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv10/HD-8000k-1080P-cctv10","http://epg.51zmt.top:8000/tb1/CCTV/CCTV10.png"
"CCTV-11戏曲","央视","12","CCTV11","http://183.207.248.71:80/cntv/live1/n-cctv-11/n-cctv-11","http://epg.51zmt.top:8000/tb1/CCTV/CCTV11.png"
"CCTV-12社会与法","央视","13","CCTV12","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv12/HD-8000k-1080P-cctv12","http://epg.51zmt.top:8000/tb1/CCTV/CCTV12.png"
"CCTV-13新闻","央视","14","CCTV13","http://183.207.248.71:80/cntv/live1/cctv-13/cctv-13","http://epg.51zmt.top:8000/tb1/CCTV/CCTV13.png"
"CCTV-14少儿","央视","15","CCTV14","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv14/HD-8000k-1080P-cctv14","http://epg.51zmt.top:8000/tb1/CCTV/CCTV14.png"
"CCTV-15音乐","央视","16","CCTV15","http://183.207.248.71:80/cntv/live1/n-cctv-15/n-cctv-15","http://epg.51zmt.top:8000/tb1/CCTV/CCTV15.png"
"CCTV-17农村农业","央视","17","CCTV17","http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv17/HD-8000k-1080P-cctv17","http://epg.51zmt.top:8000/tb1/CCTV/CCTV17.png"
"湖南卫视","卫视","20","湖南卫视","http://183.207.248.71:80/cntv/live1/hunanstv/hunanstv","http://epg.51zmt.top:8000/tb1/ws/hunan.png"
